# Este fichero incluye todos los dataset multilingues con las etiquetas correctas.
text,sentence,annotation,aspect_cat,words,gold_labels
"['Butler', 'Helena', 'road']","It is not until Butler is reached , thirteen miles from Helena , that either the scenery or the construction of the road calls for special notice .","['ASPECT', 'ASPECT', 'ASPECT']","['LOCATION', 'LOCATION', 'HUM_LANDFORM']","['It', 'is', 'not', 'until', 'Butler', 'is', 'reached', ',', 'thirteen', 'miles', 'from', 'Helena', ',', 'that', 'either', 'the', 'scenery', 'or', 'the', 'construction', 'of', 'the', 'road', 'calls', 'for', 'special', 'notice', '.']","['O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O']"
"['rocks', 'pines', 'spruce']","But at that point the scenery becomes exceedingly picturesque , the rocks towering above the pines and spruce like the ruins of some ancient stronghold .","['ASPECT', 'ASPECT', 'ASPECT']","['NAT_LANDFORM', 'FLORA', 'FLORA']","['But', 'at', 'that', 'point', 'the', 'scenery', 'becomes', 'exceedingly', 'picturesque', ',', 'the', 'rocks', 'towering', 'above', 'the', 'pines', 'and', 'spruce', 'like', 'the', 'ruins', 'of', 'some', 'ancient', 'stronghold', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'B-FLORA', 'O', 'B-FLORA', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['scenery increasing in wildness and grandeur', 'train', 'Iron Ridge Tunnel', 'track', 'ravines', 'rocky shelves', 'Mullan Tunnel']","Amid scenery increasing in wildness and grandeur , the train pursues its tortuous course ; through Iron Ridge Tunnel , near which the track forms an almost perfect letter S ; across innumerable ravines ; along rocky shelves and through deep cuttings , until at last it enters the eastern portal of the Mullan Tunnel .","['NULL_CAT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['NAT_LANDFORM', 'HUM_LANDFORM', 'HUM_LANDFORM', 'HUM_LANDFORM', 'NAT_LANDFORM', 'NAT_LANDFORM', 'HUM_LANDFORM']","['Amid', 'scenery', 'increasing', 'in', 'wildness', 'and', 'grandeur', ',', 'the', 'train', 'pursues', 'its', 'tortuous', 'course', ';', 'through', 'Iron', 'Ridge', 'Tunnel', ',', 'near', 'which', 'the', 'track', 'forms', 'an', 'almost', 'perfect', 'letter', 'S', ';', 'across', 'innumerable', 'ravines', ';', 'along', 'rocky', 'shelves', 'and', 'through', 'deep', 'cuttings', ',', 'until', 'at', 'last', 'it', 'enters', 'the', 'eastern', 'portal', 'of', 'the', 'Mullan', 'Tunnel', '.']","['O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O']"
"['grassy hills', 'valleys', 'Pacific slope', 'tunnel', 'savage grandeur that distinguishes the approach from the east']","A few minutes later the traveler is looking out upon the grassy hills and pleasant valleys of the Pacific slope , the approach to the tunnel from the west presenting a singular contrast to the savage grandeur that distinguishes the approach from the east .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'NULL_CAT']","['NAT_LANDFORM', 'NAT_LANDFORM', 'NAT_LANDFORM', 'HUM_LANDFORM', 'NAT_LANDFORM']","['A', 'few', 'minutes', 'later', 'the', 'traveler', 'is', 'looking', 'out', 'upon', 'the', 'grassy', 'hills', 'and', 'pleasant', 'valleys', 'of', 'the', 'Pacific', 'slope', ',', 'the', 'approach', 'to', 'the', 'tunnel', 'from', 'the', 'west', 'presenting', 'a', 'singular', 'contrast', 'to', 'the', 'savage', 'grandeur', 'that', 'distinguishes', 'the', 'approach', 'from', 'the', 'east', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O']"
"['Frederick Schwatka', 'John Hyde']","Frederick Schwatka; John Hyde
Language: English
Permission granted and the earth removed , the citizen thought no more of the matter .","['ASPECT', 'ASPECT']","['PERSON', 'PERSON']","['Frederick', 'Schwatka', ';', 'John', 'Hyde', 'Language', 'English', 'Permission', 'granted', 'and', 'the', 'earth', 'removed', ',', 'the', 'citizen', 'thought', 'no', 'more', 'of', 'the', 'matter', '.']","['B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['valley', 'train', 'Garrison', 'cars']","Following the valley of the Little Blackfoot , the train presently arrives at Garrison , where passengers desirous of visiting the most flourishing mining city on the American continent , if not in the world , must change cars . `` The most flourishing mining city on the American continent , if not in the world !","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['NAT_LANDFORM', 'HUM_LANDFORM', 'LOCATION', 'HUM_LANDFORM']","['Following', 'the', 'valley', 'of', 'the', 'Little', 'Blackfoot', ',', 'the', 'train', 'presently', 'arrives', 'at', 'Garrison', ',', 'where', 'passengers', 'desirous', 'of', 'visiting', 'the', 'most', 'flourishing', 'mining', 'city', 'on', 'the', 'American', 'continent', ',', 'if', 'not', 'in', 'the', 'world', ',', 'must', 'change', 'cars', '.', 'The', 'most', 'flourishing', 'mining', 'city', 'on', 'the', 'American', 'continent', ',', 'if', 'not', 'in', 'the', 'world', '!']","['O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Nevada', 'Colorado', 'Leadville', 'banks']","Even so ; and yet we are not in Nevada , nor yet in Colorado ; and , besides , the former is about played out ; and , as for Leadville , every one remembers the disasters that overtook her , culminating , as they did , in the failure of all her four banks .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['LOCATION', 'LOCATION', 'LOCATION', 'HUM_LANDFORM']","['Even', 'so', ';', 'and', 'yet', 'we', 'are', 'not', 'in', 'Nevada', ',', 'nor', 'yet', 'in', 'Colorado', ';', 'and', ',', 'besides', ',', 'the', 'former', 'is', 'about', 'played', 'out', ';', 'and', ',', 'as', 'for', 'Leadville', ',', 'every', 'one', 'remembers', 'the', 'disasters', 'that', 'overtook', 'her', ',', 'culminating', ',', 'as', 'they', 'did', ',', 'in', 'the', 'failure', 'of', 'all', 'her', 'four', 'banks', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O']"
"['miner', 'wanderer', 'Nevada', 'Nevada']","If so , let us turn to the story of the miner , who , confident that he was the possessor of a valuable claim , held on to it in spite of the most adverse circumstances , hiring himself out in winter that he might have a little money wherewith to work upon his claim in summer , until , at last , after eight years of indomitable perseverance and patient toil , he was able to sell his property for $ 2,250,000 ; or that of the weary and penniless wanderer , who , having tramped all the way from Nevada , began a toilsome search , to be continued through much suffering and privation for several years , but destined to be rewarded at last by the discovery of one of the richest veins of gold in the Territory , a vein that has yielded , up to the present time , $ 4,000,000 worth of gold .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['PERSON', 'PERSON', 'LOCATION', 'HUM_LANDFORM']","['If', 'so', ',', 'let', 'us', 'turn', 'to', 'the', 'story', 'of', 'the', 'miner', ',', 'who', ',', 'confident', 'that', 'he', 'was', 'the', 'possessor', 'of', 'a', 'valuable', 'claim', ',', 'held', 'on', 'to', 'it', 'in', 'spite', 'of', 'the', 'most', 'adverse', 'circumstances', ',', 'hiring', 'himself', 'out', 'in', 'winter', 'that', 'he', 'might', 'have', 'a', 'little', 'money', 'wherewith', 'to', 'work', 'upon', 'his', 'claim', 'in', 'summer', ',', 'until', ',', 'at', 'last', ',', 'after', 'eight', 'years', 'of', 'indomitable', 'perseverance', 'and', 'patient', 'toil', ',', 'he', 'was', 'able', 'to', 'sell', 'his', 'property', 'for', '2', ',', '250', ',', '000', ';', 'or', 'that', 'of', 'the', 'weary', 'and', 'penniless', 'wanderer', ',', 'who', ',', 'having', 'tramped', 'all', 'the', 'way', 'from', 'Nevada', ',', 'began', 'a', 'toilsome', 'search', ',', 'to', 'be', 'continued', 'through', 'much', 'suffering', 'and', 'privation', 'for', 'several', 'years', ',', 'but', 'destined', 'to', 'be', 'rewarded', 'at', 'last', 'by', 'the', 'discovery', 'of', 'one', 'of', 'the', 'richest', 'veins', 'of', 'gold', 'in', 'the', 'Territory', ',', 'a', 'vein', 'that', 'has', 'yielded', ',', 'up', 'to', 'the', 'present', 'time', ',', '4', ',', '000', ',', '000', 'worth', 'of', 'gold', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Butte', 'United States']","The city is Butte , that , at the last United States census , had a population of only 3,363 , but now claims six times that number , and has a monthly mining pay-roll of $ 620,000 .","['ASPECT', 'ASPECT']","['LOCATION', 'LOCATION']","['The', 'city', 'is', 'Butte', ',', 'that', ',', 'at', 'the', 'last', 'United', 'States', 'census', ',', 'had', 'a', 'population', 'of', 'only', '3', ',', '363', ',', 'but', 'now', 'claims', 'six', 'times', 'that', 'number', ',', 'and', 'has', 'a', 'monthly', 'mining', 'pay', 'roll', 'of', '620', ',', '000', '.']","['O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Deer Lodge valley', 'farms']","The line from Garrison runs through the beautiful Deer Lodge valley , in which are many fine farms .","['ASPECT', 'ASPECT']","['NAT_LANDFORM', 'HUM_LANDFORM']","['The', 'line', 'from', 'Garrison', 'runs', 'through', 'the', 'beautiful', 'Deer', 'Lodge', 'valley', ',', 'in', 'which', 'are', 'many', 'fine', 'farms', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O']"
"['Deer Lodge City', 'Deer Lodge City']","Deer Lodge City , the judicial seat of the county , is pleasantly situated 4,546 feet above sea-level .","['ASPECT', 'ASPECT']","['LOCATION', 'HUM_LANDFORM']","['Deer', 'Lodge', 'City', ',', 'the', 'judicial', 'seat', 'of', 'the', 'county', ',', 'is', 'pleasantly', 'situated', '4', ',', '546', 'feet', 'above', 'sea', 'level', '.']","['B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Being well laid out', 'streets', 'buildings', 'exceedingly attractive appearance']","Being well laid out , it presents , with its wide streets and handsome public buildings , an exceedingly attractive appearance .","['NULL_CAT', 'ASPECT', 'ASPECT', 'NULL_CAT']","['HUM_LANDFORM', 'HUM_LANDFORM', 'HUM_LANDFORM', 'HUM_LANDFORM']","['Being', 'well', 'laid', 'out', ',', 'it', 'presents', ',', 'with', 'its', 'wide', 'streets', 'and', 'handsome', 'public', 'buildings', ',', 'an', 'exceedingly', 'attractive', 'appearance', '.']","['B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O']"
"['valley', 'Rocky Mountains', 'Rocky Mountains', 'Pipestone Pass', 'Pipestone Pass']","It is at the head of this valley , on the western slope of the main range of the Rocky Mountains , and fifteen miles from the Pipestone Pass , that there has been witnessed , during the last three or four years , that rapid growth of population and wealth that is without parallel , even in the marvelous annals of mining .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['NAT_LANDFORM', 'LOCATION', 'NAT_LANDFORM', 'LOCATION', 'HUM_LANDFORM']","['It', 'is', 'at', 'the', 'head', 'of', 'this', 'valley', ',', 'on', 'the', 'western', 'slope', 'of', 'the', 'main', 'range', 'of', 'the', 'Rocky', 'Mountains', ',', 'and', 'fifteen', 'miles', 'from', 'the', 'Pipestone', 'Pass', ',', 'that', 'there', 'has', 'been', 'witnessed', ',', 'during', 'the', 'last', 'three', 'or', 'four', 'years', ',', 'that', 'rapid', 'growth', 'of', 'population', 'and', 'wealth', 'that', 'is', 'without', 'parallel', ',', 'even', 'in', 'the', 'marvelous', 'annals', 'of', 'mining', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'I-NAT_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['mountains', 'Butte', 'furnaces', 'Silver City', 'Silver City', 'copper mines', 'United States']","Here , encompassed on three sides by lofty ranges of mountains , Butte pours forth the smoke of its innumerable furnaces ; for not only is its production of silver so great that it has come to be designated the `` Silver City , '' but its copper mines are such as to give employment to the most extensive smelting works in the United States .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['NAT_LANDFORM', 'LOCATION', 'HUM_LANDFORM', 'LOCATION', 'HUM_LANDFORM', 'HUM_LANDFORM', 'LOCATION']","['Here', ',', 'encompassed', 'on', 'three', 'sides', 'by', 'lofty', 'ranges', 'of', 'mountains', ',', 'Butte', 'pours', 'forth', 'the', 'smoke', 'of', 'its', 'innumerable', 'furnaces', ';', 'for', 'not', 'only', 'is', 'its', 'production', 'of', 'silver', 'so', 'great', 'that', 'it', 'has', 'come', 'to', 'be', 'designated', 'the', 'Silver', 'City', ',', ""''"", 'but', 'its', 'copper', 'mines', 'are', 'such', 'as', 'to', 'give', 'employment', 'to', 'the', 'most', 'extensive', 'smelting', 'works', 'in', 'the', 'United', 'States', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NAT_LANDFORM', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'I-LOCATION', 'O']"
"['Utah', 'Nevada']","Its total production during 1885 , valued at $ 15,000,000 , viz. , $ 5,000,000 worth of bullion and $ 10,000,000 worth of copper matte , was twice that of Utah , and three times that of Nevada .","['ASPECT', 'ASPECT']","['LOCATION', 'LOCATION']","['Its', 'total', 'production', 'during', '1885', ',', 'valued', 'at', '15', ',', '000', ',', '000', ',', 'viz', '.', ',', '5', ',', '000', ',', '000', 'worth', 'of', 'bullion', 'and', '10', ',', '000', ',', '000', 'worth', 'of', 'copper', 'matte', ',', 'was', 'twice', 'that', 'of', 'Utah', ',', 'and', 'three', 'times', 'that', 'of', 'Nevada', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O']"
"['California', 'Idaho', 'New Mexico', 'Arizona']","It also exceeded that of the whole of California , or the combined production of Idaho , New Mexico and Arizona .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['LOCATION', 'LOCATION', 'LOCATION', 'LOCATION']","['It', 'also', 'exceeded', 'that', 'of', 'the', 'whole', 'of', 'California', ',', 'or', 'the', 'combined', 'production', 'of', 'Idaho', ',', 'New', 'Mexico', 'and', 'Arizona', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LOCATION', 'O', 'B-LOCATION', 'I-LOCATION', 'O', 'B-LOCATION', 'O']"
"['silver mines', 'Alice', 'Moulton', 'Lexington', 'Silver Bow']","The leading silver mines of the district are the Alice , Moulton , Lexington and Silver Bow , which alone employ 210 stamps and produce 230 tons of ore daily .","['ASPECT', 'ASPECT', 'ASPECT', 'ASPECT', 'ASPECT']","['HUM_LANDFORM', 'HUM_LANDFORM', 'HUM_LANDFORM', 'HUM_LANDFORM', 'HUM_LANDFORM']","['The', 'leading', 'silver', 'mines', 'of', 'the', 'district', 'are', 'the', 'Alice', ',', 'Moulton', ',', 'Lexington', 'and', 'Silver', 'Bow', ',', 'which', 'alone', 'employ', '210', 'stamps', 'and', 'produce', '230', 'tons', 'of', 'ore', 'daily', '.']","['O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'B-HUM_LANDFORM', 'O', 'B-HUM_LANDFORM', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Alice mine', 'Cornish pump']","The magnificent appliances of the Alice mine , including the great Cornish pump that cost $ 40,000 , are the wonder of every visitor .","['ASPECT', 'ASPECT']","['HUM_LANDFORM', 'HUM_LANDFORM']","['The', 'magnificent', 'appliances', 'of', 'the', 'Alice', 'mine', ',', 'including', 'the', 'great', 'Cornish', 'pump', 'that', 'cost', '40', ',', '000', ',', 'are', 'the', 'wonder', 'of', 'every', 'visitor', '.']","['O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['roasting mills', 'Alice mines']","The roasting mills of the Alice mines treat 100 tons of ore per day , and their bullion product approaches $ 100,000 per month .","['ASPECT', 'ASPECT']","['HUM_LANDFORM', 'HUM_LANDFORM']","['The', 'roasting', 'mills', 'of', 'the', 'Alice', 'mines', 'treat', '100', 'tons', 'of', 'ore', 'per', 'day', ',', 'and', 'their', 'bullion', 'product', 'approaches', '100', ',', '000', 'per', 'month', '.']","['O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['Lexington property'],"The great Lexington property , which has produced $ 1,000,000 per annum for four years , is owned by a French company .",['ASPECT'],['HUM_LANDFORM'],"['The', 'great', 'Lexington', 'property', ',', 'which', 'has', 'produced', '1', ',', '000', ',', '000', 'per', 'annum', 'for', 'four', 'years', ',', 'is', 'owned', 'by', 'a', 'French', 'company', '.']","['O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['mine'],"It claims to be the most complete mine in the entire West , and it is certainly one of the richest and most extensive .",['ASPECT'],['HUM_LANDFORM'],"['It', 'claims', 'to', 'be', 'the', 'most', 'complete', 'mine', 'in', 'the', 'entire', 'West', ',', 'and', 'it', 'is', 'certainly', 'one', 'of', 'the', 'richest', 'and', 'most', 'extensive', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Moulton', 'Silver Bow']",The Moulton and Silver Bow have a daily capacity of forty and thirty tons of ore respectively .,"['ASPECT', 'ASPECT']","['HUM_LANDFORM', 'HUM_LANDFORM']","['The', 'Moulton', 'and', 'Silver', 'Bow', 'have', 'a', 'daily', 'capacity', 'of', 'forty', 'and', 'thirty', 'tons', 'of', 'ore', 'respectively', '.']","['O', 'B-HUM_LANDFORM', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['They are magnificent properties , well developed and exceedingly productive']","They are magnificent properties , well developed and exceedingly productive .",['NULL_CAT'],['HUM_LANDFORM'],"['They', 'are', 'magnificent', 'properties', ',', 'well', 'developed', 'and', 'exceedingly', 'productive', '.']","['B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O']"
['mill'],The former makes the proud boast of working its ore to a higher percentage of its value than any other mill in the district .,['ASPECT'],['HUM_LANDFORM'],"['The', 'former', 'makes', 'the', 'proud', 'boast', 'of', 'working', 'its', 'ore', 'to', 'a', 'higher', 'percentage', 'of', 'its', 'value', 'than', 'any', 'other', 'mill', 'in', 'the', 'district', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O']"
"['copper mines', 'smelters']","But it is the copper mines and smelters that represent the largest capital ; give employment to the greatest number of men ; have the largest production , both in tonnage and aggregate value ; and , it may be added , make the most smoke .","['ASPECT', 'ASPECT']","['HUM_LANDFORM', 'HUM_LANDFORM']","['But', 'it', 'is', 'the', 'copper', 'mines', 'and', 'smelters', 'that', 'represent', 'the', 'largest', 'capital', ';', 'give', 'employment', 'to', 'the', 'greatest', 'number', 'of', 'men', ';', 'have', 'the', 'largest', 'production', ',', 'both', 'in', 'tonnage', 'and', 'aggregate', 'value', ';', 'and', ',', 'it', 'may', 'be', 'added', ',', 'make', 'the', 'most', 'smoke', '.']","['O', 'O', 'O', 'O', 'B-HUM_LANDFORM', 'I-HUM_LANDFORM', 'O', 'B-HUM_LANDFORM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
